Marketing Condition,Financial Performance,Customer Feedback,Industry Competition,Product/Service Quality,Consumer Behavior,Expansion Ability,Uncontrollable Factors,Market Saturation,Marketing Strategies,output
0.596,0.662,0.613,0.677,0.535,0.76,0.534,0.9,0.617,0.77,S
0.825,0.766,0.662,0.667,0.835,0.997,0.831,0.779,0.865,0.733,S
0.781,0.979,0.588,0.845,0.6,0.768,0.548,0.725,0.878,0.674,S
0.898,0.964,0.617,0.7,0.576,0.996,0.964,0.77,0.921,0.76,S
0.545,0.878,0.564,0.913,0.891,0.854,0.518,0.652,0.632,0.68,S
0.968,0.777,0.653,0.698,0.724,0.8,0.758,0.96,0.748,0.996,S
0.604,0.965,0.558,0.909,0.69,0.939,0.934,0.903,0.895,0.652,S
0.701,0.587,0.847,0.673,0.988,0.82,0.911,0.566,0.931,0.961,S
0.803,0.882,0.587,0.751,0.699,0.573,0.684,0.534,0.513,0.568,S
0.775,0.983,0.716,0.656,0.753,0.72,0.553,0.82,0.608,0.81,S
0.576,0.531,0.89,0.73,0.529,0.997,0.529,0.848,0.992,0.62,S
0.561,0.652,0.551,0.846,0.531,0.755,0.998,0.907,0.808,0.653,S
0.764,0.713,0.565,0.943,0.725,0.597,0.684,0.707,0.914,0.867,S
0.506,0.708,0.741,0.51,0.63,0.88,0.569,0.768,0.608,0.506,S
0.988,0.901,0.98,0.744,0.555,0.774,0.727,0.922,0.549,0.744,S
0.662,0.869,0.738,0.688,0.697,0.73,0.893,0.946,0.978,0.893,S
0.844,0.719,0.627,0.92,0.519,0.951,0.731,0.819,0.83,0.948,S
0.807,0.533,0.759,0.575,0.869,0.756,0.84,0.521,0.542,0.858,S
0.536,0.506,0.978,0.869,0.677,0.648,0.675,0.887,0.831,0.593,S
0.549,0.83,0.882,0.633,0.51,0.541,0.984,0.648,0.885,0.812,S
0.603,0.561,0.808,0.887,0.822,0.765,0.521,0.984,0.899,0.646,S
0.801,0.791,0.874,0.906,0.828,0.564,0.669,0.964,0.612,0.686,S
0.72,0.806,0.972,0.62,0.561,0.599,0.943,0.823,0.643,0.908,S
0.923,0.959,0.626,0.878,0.73,0.921,0.864,0.888,0.828,0.589,S
0.992,0.969,0.522,0.582,0.566,0.863,0.909,0.607,0.753,0.92,S
0.771,0.795,0.754,0.649,0.783,0.844,0.937,0.818,0.881,0.58,S
0.505,0.623,0.863,0.996,0.55,0.701,0.9,0.602,0.778,0.867,S
0.594,0.678,0.892,0.777,0.503,0.88,0.518,0.873,0.601,0.979,S
0.663,0.574,0.653,0.938,0.998,0.684,0.724,0.861,0.943,0.797,S
0.706,0.848,0.502,0.81,0.678,0.897,0.546,0.794,0.74,0.821,S
0.79,0.781,0.78,0.802,0.838,0.902,0.635,0.913,0.749,0.539,S
0.667,0.892,0.854,0.894,0.759,0.72,0.574,0.664,0.717,0.544,S
0.799,0.868,0.999,0.967,0.821,0.711,0.818,0.893,0.559,0.705,S
0.692,0.786,0.794,0.592,0.681,0.667,0.513,0.512,0.916,0.637,S
0.649,0.97,0.63,0.715,0.936,0.921,0.593,0.901,0.729,0.741,S
0.54,0.864,0.748,0.718,0.865,0.883,0.579,0.805,0.568,0.876,S
0.978,0.534,0.529,0.641,0.631,0.623,0.953,0.625,0.636,0.88,S
0.888,0.533,0.744,0.517,0.531,0.953,0.57,0.766,0.706,0.674,S
0.511,0.832,0.982,0.78,0.968,0.526,0.709,0.63,0.865,0.991,S
0.827,0.599,0.783,0.732,0.986,0.804,0.675,0.557,0.576,0.613,S
0.925,0.781,0.762,0.557,0.93,0.861,0.534,0.854,0.772,0.541,S
0.742,0.583,0.973,0.925,0.835,0.731,0.706,0.825,0.773,0.531,S
0.903,0.73,0.526,0.893,0.601,0.629,0.582,0.665,0.878,0.76,S
0.939,0.94,0.935,0.619,0.726,0.992,0.886,0.514,0.533,0.732,S
0.769,0.749,0.553,0.828,0.911,0.69,0.888,0.982,0.602,0.762,S
0.896,0.789,0.817,0.899,0.698,0.958,0.767,0.579,0.848,0.897,S
0.929,0.953,0.638,0.992,0.57,0.601,0.592,0.947,0.827,0.576,S
0.808,0.542,0.941,0.902,0.753,0.984,0.709,0.992,0.834,0.817,S
0.941,0.714,0.581,0.506,0.78,0.764,0.86,0.945,0.54,0.866,S
0.929,0.91,0.77,0.855,0.657,0.736,0.911,0.73,0.679,0.747,S
0.261,0.488,0.063,0.008,0.385,0.404,0.06,0.133,0.009,0.147,W
0.259,0.174,0.186,0.001,0.15,0.323,0.487,0.424,0.012,0.449,W
0.39,0.229,0.199,0.151,0.033,0.114,0.123,0.242,0.374,0.237,W
0.479,0.471,0.393,0.496,0.272,0.481,0.038,0.183,0.113,0.098,W
0.311,0.391,0.289,0.073,0.406,0.318,0.194,0.337,0.13,0.173,W
0.145,0.235,0.445,0.354,0.031,0.074,0.004,0.315,0.224,0.067,W
0.265,0.121,0.25,0.34,0.038,0.137,0.403,0.23,0.273,0.216,W
0.083,0.223,0.105,0.025,0.422,0.491,0.397,0.427,0.121,0.48,W
0.476,0.497,0.356,0.491,0.285,0.13,0.218,0.297,0.037,0.311,W
0.095,0.396,0.454,0.472,0.48,0.261,0.489,0.379,0.081,0.238,W
0.124,0.32,0.333,0.081,0.283,0.386,0.249,0.006,0.005,0.179,W
0.114,0.317,0.111,0.161,0.424,0.364,0.048,0.214,0.015,0.24,W
0.059,0.144,0.199,0.46,0.497,0.022,0.381,0.186,0.196,0.377,W
0.475,0.289,0.179,0.394,0.126,0.282,0.179,0.328,0.12,0.096,W
